sampling_method,num_examples,accuracy_error,merge
irt,10,0.2599191306545361,ninja_meta_linear
anchor,10,0.03474854687894857,ninja_meta_linear
random,10,0.10892089967146834,ninja_meta_linear
irt,10,0.39107910032853144,ninja_meta_linear
anchor,10,0.23793277735658314,ninja_meta_linear
random,10,0.008920899671468363,ninja_meta_linear
irt,10,0.1522618145059388,ninja_meta_linear
anchor,10,0.05370229972201157,ninja_meta_linear
random,10,0.1910791003285317,ninja_meta_linear
irt,10,0.2402072276977507,ninja_meta_linear
anchor,10,0.30919888804649975,ninja_meta_linear
random,10,0.09107910032853161,ninja_meta_linear
irt,10,0.0772049532474095,ninja_meta_linear
anchor,10,0.13785696234521094,ninja_meta_linear
random,10,0.008920899671468363,ninja_meta_linear
irt,10,0.39107910032853155,ninja_meta_linear
anchor,10,0.1886530199646197,ninja_meta_linear
random,10,0.10892089967146834,ninja_meta_linear
irt,10,0.19471822087439972,ninja_meta_linear
anchor,10,0.1401314126863784,ninja_meta_linear
random,10,0.008920899671468363,ninja_meta_linear
irt,10,0.11056355825120023,ninja_meta_linear
anchor,10,0.39107910032853166,ninja_meta_linear
random,10,0.1910791003285317,ninja_meta_linear
irt,10,0.26446803133687125,ninja_meta_linear
anchor,10,0.04460449835734137,ninja_meta_linear
random,10,0.09107910032853161,ninja_meta_linear
irt,10,0.39107910032853144,ninja_meta_linear
anchor,10,0.026408895628000972,ninja_meta_linear
random,15,0.14225423300480167,ninja_meta_linear
irt,15,0.2917614354308816,ninja_meta_linear
anchor,15,0.1439221632549912,ninja_meta_linear
random,15,0.008920899671468363,ninja_meta_linear
irt,15,0.12951731109426312,ninja_meta_linear
anchor,15,0.08933535506696988,ninja_meta_linear
random,15,0.05774576699519829,ninja_meta_linear
irt,15,0.20760677280768236,ninja_meta_linear
anchor,15,0.28493808440737933,ninja_meta_linear
random,15,0.12441243366186494,ninja_meta_linear
irt,15,0.15453626484710625,ninja_meta_linear
anchor,15,0.20229972201162494,ninja_meta_linear
random,15,0.1910791003285317,ninja_meta_linear
irt,15,0.23869092747030562,ninja_meta_linear
anchor,15,0.19320192064695463,ninja_meta_linear
random,15,0.008920899671468363,ninja_meta_linear
