sampling_method,num_examples,accuracy_error,language
random,50,0.059537528430629205,dutch
irt,50,0.031273692191053803,dutch
anchor,50,0.05098559514783929,dutch
random,100,0.22046247156937082,dutch
irt,100,0.06084154662623198,dutch
anchor,100,0.041508718726307736,dutch
random,100,0.10046247156937083,dutch
irt,100,0.00511751326762705,dutch
anchor,100,0.004359363153904394,dutch
random,100,0.10046247156937083,dutch
irt,100,0.03771796815769529,dutch
anchor,100,0.08510235026535262,dutch
random,100,0.11046247156937083,dutch
irt,100,0.07979529946929487,dutch
anchor,100,0.08889310083396518,dutch
random,100,0.04046247156937077,dutch
irt,100,0.025966641394996215,dutch
anchor,100,0.05932524639878706,dutch
random,100,0.029537528430629234,dutch
irt,100,0.031273692191053803,dutch
anchor,100,0.014973464746019627,dutch
random,100,0.13046247156937074,dutch
irt,100,0.08206974981046244,dutch
anchor,100,0.04264594389689169,dutch
random,100,0.09046247156937082,dutch
irt,100,0.030515542077331315,dutch
anchor,100,0.05401819560272936,dutch
random,100,0.0704624715693708,dutch
irt,100,0.027482941622441248,dutch
anchor,100,0.10633055344958309,dutch
random,100,0.0004624715693707926,dutch
irt,100,0.12680060652009095,dutch
anchor,100,0.02975739196360888,dutch
random,10,0.16046247156937077,german
irt,10,0.2693328278999242,german
anchor,10,0.20868081880212286,german
random,10,0.26046247156937075,german
irt,10,0.30648218347232736,german
anchor,10,0.20526914329037144,german
random,10,0.16046247156937077,german
irt,10,0.05250189537528427,german
anchor,10,0.1328658074298712,german
random,10,0.06046247156937079,german
irt,10,0.007391963608794572,german
anchor,10,0.1859363153904473,german
random,10,0.06046247156937079,german
irt,10,0.286770280515542,german
anchor,10,0.05288097043214551,german
random,10,0.03953752843062919,german
irt,10,0.2655420773313115,german
anchor,10,0.11921910538286584,german
random,10,0.06046247156937079,german
irt,10,0.214746019711903,german
anchor,10,0.0581880212282031,german
random,10,0.2395375284306292,german
irt,10,0.03620166793025015,german
anchor,10,0.16470811220621695,german
random,10,0.26046247156937075,german
irt,10,0.2784306292645943,german
anchor,10,0.30761940864291126,german
random,10,0.16046247156937077,german
irt,10,0.15181956027293397,german
anchor,10,0.03051554207733137,german
random,15,0.09379580490270412,german
irt,15,0.0949583017437452,german
anchor,15,0.09154662623199394,german
random,15,0.22712913823603742,german
irt,15,0.05174374526156178,german
anchor,15,0.12680060652009095,german
random,15,0.16046247156937077,german
irt,15,0.15333586050037906,german
anchor,15,0.047952994692949225,german
random,15,0.09379580490270412,german
irt,15,0.20185746777862013,german
anchor,15,0.0775208491281274,german
random,15,0.09379580490270412,german
irt,15,0.21019711902956784,german
anchor,15,0.13438210765731617,german
random,15,0.03953752843062919,german
irt,15,0.1487869598180439,german
anchor,15,0.016489764973464716,german
random,15,0.027129138236037464,german
irt,15,0.25341167551175114,german
anchor,15,0.01194086429112956,german
random,15,0.17287086176396255,german
irt,15,0.14234268385140258,german
anchor,15,0.18707354056103104,german
random,15,0.16046247156937077,german
irt,15,0.16167551175132677,german
anchor,15,0.17608036391205473,german
random,15,0.16046247156937077,german
irt,15,0.12149355572403331,german
anchor,15,0.19048521607278246,german
random,20,0.010462471569370801,german
irt,20,0.07827899924184989,german
anchor,20,0.11997725549658844,german
random,20,0.26046247156937075,german
irt,20,0.056292645943896935,german
anchor,20,0.20413191811978781,german
random,20,0.11046247156937083,german
irt,20,0.1313495072024261,german
anchor,20,0.20868081880212286,german
random,20,0.010462471569370801,german
irt,20,0.06311599696739956,german
anchor,20,0.19048521607278246,german
random,20,0.010462471569370801,german
irt,20,0.1677407126611069,german
anchor,20,0.08510235026535262,german
random,20,0.03953752843062919,german
irt,20,0.3421152388172858,german
anchor,20,0.07410917361637592,german
random,20,0.11046247156937083,german
irt,20,0.3019332827899923,german
anchor,20,0.13968915845337382,german
random,20,0.08953752843062923,german
irt,20,0.07069749810462478,german
anchor,20,0.052501895375284324,german
random,20,0.2104624715693708,german
irt,20,0.05174374526156189,german
anchor,20,0.07865807429871102,german
random,20,0.11046247156937083,german
irt,20,0.03468536770280517,german
anchor,20,0.24658832448824874,german
random,30,0.0062041950972958615,german
irt,30,0.042645943896891636,german
anchor,30,0.024450341167551293,german
random,30,0.16046247156937077,german
irt,30,0.14651250947687644,german
anchor,30,0.11921910538286595,german
random,30,0.09379580490270412,german
irt,30,0.2132297194844579,german
anchor,30,0.07448824867323744,german
random,30,0.06046247156937079,german
irt,30,0.03620166793025015,german
anchor,30,0.06614859742228962,german
random,30,0.0062041950972958615,german
irt,30,0.07221379833206987,german
anchor,30,0.20034116755117526,german
random,30,0.1062041950972959,german
irt,30,0.0684230477634572,german
