lang,n_samples,accuracy,estimate_method,iter,diff
romanian,15,0.18953752000000001,irt,8,0.19408643754359362
spanish,100,0.5602728499999999,irt,7,0.014404768119787636
dutch,50,0.48673231,irt,9,0.11144800370735408
spanish,50,0.70204691,irt,0,0.15617882811978767
dutch,50,0.39575431999999994,irt,8,0.020470013707354018
romanian,20,0.24639878999999998,irt,0,0.13722516754359365
romanian,15,0.26990144,irt,4,0.11372251754359364
dutch,10,0.3313116,irt,8,0.043972706292645936
spanish,100,0.6368459999999999,irt,8,0.09097791811978762
romanian,15,0.33434419000000004,irt,3,0.04927976754359359
dutch,100,0.4609552,irt,5,0.08567089370735409
romanian,10,0.02198635,irt,8,0.36163760754359364
dutch,10,0.29492039999999997,irt,3,0.08036390629264595
spanish,100,0.6171341000000001,irt,9,0.07126601811978783
romanian,10,0.02198635,irt,9,0.36163760754359364
dutch,100,0.5170583,irt,4,0.14177399370735405
romanian,15,0.09552690999999999,irt,0,0.28809704754359367
italian,15,0.5307050799999999,irt,5,0.06444276006065197
dutch,10,0.30629264,irt,4,0.06899166629264591
romanian,15,0.39878695,irt,1,0.015162992456406343
italian,30,0.44351780999999996,irt,0,0.022744509939348012
dutch,100,0.4169825,irt,3,0.04169819370735406
romanian,15,0.18650492,irt,2,0.19711903754359364
spanish,30,0.36467022,irt,9,0.1811978618802123
dutch,100,0.46474594999999996,irt,2,0.08946164370735404
dutch,10,0.54965883,irt,5,0.17437452370735412
romanian,20,0.3343442,irt,1,0.04927975754359365
romanian,15,0.08946171,irt,9,0.29416224754359366
romanian,20,0.3813495,irt,9,0.002274457543593622
dutch,50,0.36846091,irt,4,0.006823396292645945
spanish,100,0.5132675499999999,irt,5,0.03260053188021239
romanian,20,0.37831692,irt,6,0.005307037543593629
dutch,50,0.53297945,irt,5,0.1576951437073541
spanish,100,0.45564815,irt,6,0.09021993188021232
romanian,20,0.28582259,irt,8,0.09780136754359364
italian,20,0.36542836,irt,8,0.10083395993934796
romanian,20,0.26231994000000003,irt,5,0.1213040175435936
italian,15,0.27293404,irt,8,0.19332827993934798
dutch,15,0.44275967000000005,irt,0,0.06747536370735413
dutch,50,0.38286575,irt,3,0.007581443707354085
romanian,20,0.24033358999999999,irt,7,0.14329036754359364
romanian,20,0.3237301,irt,4,0.05989385754359361
dutch,15,0.28809704,irt,1,0.08718726629264589
dutch,50,0.41470805,irt,7,0.039423743707354075
spanish,50,0.57164511,irt,1,0.02577702811978766
romanian,20,0.23881729000000002,irt,3,0.14480666754359361
italian,15,0.60727825,irt,7,0.14101593006065205
dutch,15,0.18119787,irt,2,0.1940864362926459
romanian,30,0.28430631,irt,0,0.09931764754359362
dutch,50,0.41470804999999994,irt,6,0.03942374370735402
spanish,50,0.52160721,irt,2,0.02426087188021231
dutch,10,0.31766491,irt,9,0.0576193962926459
romanian,20,0.30174375000000003,irt,2,0.0818802075435936
italian,30,0.4710839685635945,pirt,0,0.004821648624246555
spanish,50,0.4642462372594022,pirt,2,0.08162184462081012
italian,30,0.3686881380091608,pirt,1,0.09757418193018719
spanish,50,0.4097969195554405,pirt,1,0.1360711623247718
italian,30,0.4079018090904128,pirt,7,0.058360510848935176
italian,20,0.5306656634075371,pirt,7,0.0644033434681891
spanish,30,0.4053437482756128,pirt,4,0.14052433360459948
italian,20,0.5034168413363453,pirt,4,0.037154521396997375
italian,30,0.4754077104572284,pirt,4,0.009145390517880436
spanish,20,0.6253478285424335,pirt,8,0.07947974666222124
spanish,30,0.631752518678206,pirt,7,0.08588443679799374
spanish,30,0.3252197104067761,pirt,5,0.2206483714734362
spanish,30,0.4082447743034629,pirt,9,0.1376233075767494
spanish,30,0.534549634695554,pirt,2,0.011318447184658242
spanish,50,0.5459154223204815,pirt,0,4.73404402692168e-05
spanish,30,0.4388172666090577,pirt,1,0.10705081527115462
spanish,50,0.5102928606829575,pirt,4,0.03557522119725476
italian,30,0.42263717906877296,pirt,2,0.04362514087057501
italian,30,0.6178190004976664,pirt,5,0.1515566805583184
spanish,30,0.5530523310294556,pirt,3,0.007184249149243316
italian,30,0.3720268069168359,pirt,6,0.0942355130225121
italian,20,0.5780251806295014,pirt,5,0.1117628606901534
italian,20,0.30902508955110264,pirt,8,0.15723723038824533
italian,30,0.4044412316531303,pirt,3,0.061821088286217685
italian,20,0.3672273390636864,pirt,6,0.0990349808756616
spanish,30,0.49168109631683216,pirt,0,0.05418698556338014
spanish,30,0.5614675768967278,pirt,6,0.015599495016515474
italian,20,0.4033483376821756,pirt,9,0.06291398225717237
spanish,50,0.6252603889324365,pirt,3,0.07939230705222422
spanish,50,0.5443369018975142,pirt,5,0.0015311799826981387
spanish,20,0.4162411350330266,pirt,9,0.12962694684718568
spanish,50,0.4870626683210527,pirt,6,0.05880541355915958
spanish,30,0.5960948905579212,pirt,8,0.0502268086777089
spanish,10,0.5722730637077402,pirt,7,0.02640498182752793
spanish,20,0.671075264540581,pirt,7,0.12520718266036868
dutch,50,0.4656245095025888,pirt,2,0.0903402032099429
dutch,15,0.209891010879319,pirt,2,0.16539329541332692
dutch,50,0.33214382395547426,pirt,3,0.04314048233717166
dutch,15,0.47268718135448884,pirt,1,0.09740287506184292
dutch,50,0.51088998814699,pirt,4,0.13560568185434413
dutch,15,0.5175755522981684,pirt,0,0.1422912460055225
dutch,50,0.5484871296169911,pirt,5,0.17320282332434517
dutch,50,0.33379019484447936,pirt,6,0.04149411144816656
dutch,10,0.2816620550132473,pirt,9,0.0936222512793986
dutch,50,0.45203534064320083,pirt,7,0.07675103435055491
dutch,10,0.31975592939307046,pirt,8,0.05552837689957546
dutch,50,0.2974439567517715,pirt,8,0.07784034954087443
dutch,10,0.3467253281915627,pirt,7,0.02855897810108321
dutch,50,0.41815746476862303,pirt,9,0.04287315847597711
dutch,100,0.430890036682213,pirt,0,0.055605730389567065
dutch,10,0.1651839134063974,pirt,6,0.21010039288624852
dutch,100,0.4607623885615827,pirt,1,0.08547808226893677
dutch,10,0.40905768744439736,pirt,5,0.033773381151751436
dutch,100,0.41836763075743655,pirt,2,0.04308332446479063
dutch,10,0.24840398491518756,pirt,4,0.12688032137745836
dutch,100,0.36938248072347324,pirt,3,0.005901825569172681
dutch,100,0.49613484788082596,pirt,4,0.12085054158818004
dutch,10,0.35264474947604546,pirt,3,0.02263955681660046
dutch,50,0.3820974542648268,pirt,1,0.006813147972180855
dutch,15,0.4265021953802415,pirt,3,0.05121788908759556
dutch,50,0.3693021723038581,pirt,0,0.00598213398878783
dutch,15,0.3517569365374892,pirt,4,0.023527369755156735
dutch,20,0.4598760875110867,pirt,6,0.0845917812184408
dutch,20,0.3752536395371009,pirt,4,3.066675554502796e-05
