merge,n_samples,accuracy,estimate_method,iter,diff
arithmo_meta_td,15,0.4666666666666667,random,5,0.10801111953500131
arithmo_meta_td,15,0.26666666666666666,random,6,0.3080111195350013
arithmo_meta_td,15,0.4666666666666667,random,7,0.10801111953500131
arithmo_meta_td,15,0.4666666666666667,random,8,0.10801111953500131
arithmo_meta_td,15,0.4,random,9,0.17467778620166796
arithmo_meta_td,20,0.4,random,0,0.17467778620166796
arithmo_meta_td,20,0.6,random,1,0.025322213798331994
arithmo_meta_td,20,0.65,random,2,0.07532221379833204
arithmo_meta_td,20,0.55,random,3,0.02467778620166794
arithmo_meta_td,20,0.45,random,4,0.12467778620166797
arithmo_meta_td,20,0.55,random,5,0.02467778620166794
arithmo_meta_td,20,0.35,random,6,0.224677786201668
arithmo_meta_td,20,0.5,random,7,0.07467778620166798
arithmo_meta_td,20,0.5,random,8,0.07467778620166798
arithmo_meta_td,20,0.35,random,9,0.224677786201668
arithmo_meta_td,30,0.5,random,0,0.07467778620166798
arithmo_meta_td,30,0.5666666666666667,random,1,0.008011119535001332
arithmo_meta_td,30,0.6666666666666666,random,2,0.09198888046499865
arithmo_meta_td,30,0.5,random,3,0.07467778620166798
arithmo_meta_td,30,0.5333333333333333,random,4,0.04134445286833466
arithmo_meta_td,30,0.4666666666666667,random,5,0.10801111953500131
arithmo_meta_td,30,0.5,random,6,0.07467778620166798
arithmo_meta_td,30,0.5,random,7,0.07467778620166798
arithmo_meta_td,30,0.5,random,8,0.07467778620166798
arithmo_meta_td,30,0.36666666666666664,random,9,0.20801111953500134
arithmo_meta_td,50,0.56,random,0,0.01467778620166793
arithmo_meta_td,50,0.58,random,1,0.005322213798331976
arithmo_meta_td,50,0.62,random,2,0.04532221379833201
arithmo_meta_td,50,0.56,random,3,0.01467778620166793
arithmo_meta_td,50,0.54,random,4,0.03467778620166795
arithmo_meta_td,50,0.54,random,5,0.03467778620166795
arithmo_meta_td,50,0.5,random,6,0.07467778620166798
arithmo_meta_td,50,0.48,random,7,0.094677786201668
arithmo_meta_td,50,0.56,random,8,0.01467778620166793
arithmo_meta_td,50,0.48,random,9,0.094677786201668
arithmo_meta_td,100,0.61,random,0,0.035322213798332
arithmo_meta_td,100,0.6,random,1,0.025322213798331994
arithmo_meta_td,100,0.59,random,2,0.015322213798331985
arithmo_meta_td,100,0.52,random,3,0.054677786201667966
arithmo_meta_td,100,0.51,random,4,0.06467778620166797
arithmo_meta_td,100,0.5,random,5,0.07467778620166798
arithmo_meta_td,100,0.61,random,6,0.035322213798332
arithmo_meta_td,100,0.48,random,7,0.094677786201668
arithmo_meta_td,100,0.5,random,8,0.07467778620166798
arithmo_meta_td,100,0.55,random,9,0.02467778620166794
ninja_meta_td,10,0.2,random,0,0.16997725549658832
ninja_meta_td,10,0.6,random,1,0.23002274450341165
ninja_meta_td,10,0.5,random,2,0.13002274450341167
ninja_meta_td,10,0.3,random,3,0.06997725549658834
ninja_meta_td,10,0.1,random,4,0.26997725549658835
ninja_meta_td,10,0.4,random,5,0.03002274450341169
ninja_meta_td,10,0.3,random,6,0.06997725549658834
ninja_meta_td,10,0.0,random,7,0.36997725549658833
ninja_meta_td,10,0.5,random,8,0.13002274450341167
ninja_meta_td,10,0.3,random,9,0.06997725549658834
ninja_meta_td,15,0.2,random,0,0.16997725549658832
ninja_meta_td,15,0.6,random,1,0.23002274450341165
ninja_meta_td,15,0.4666666666666667,random,2,0.09668941117007834
ninja_meta_td,15,0.2,random,3,0.16997725549658832
ninja_meta_td,15,0.26666666666666666,random,4,0.10331058882992167
ninja_meta_td,15,0.3333333333333333,random,5,0.036643922163255016
ninja_meta_td,15,0.26666666666666666,random,6,0.10331058882992167
ninja_meta_td,15,0.2,random,7,0.16997725549658832
ninja_meta_td,15,0.4,random,8,0.03002274450341169
ninja_meta_td,15,0.3333333333333333,random,9,0.036643922163255016
ninja_meta_td,20,0.25,random,0,0.11997725549658833
ninja_meta_td,20,0.6,random,1,0.23002274450341165
ninja_meta_td,20,0.45,random,2,0.08002274450341168
ninja_meta_td,20,0.2,random,3,0.16997725549658832
ninja_meta_td,20,0.2,random,4,0.16997725549658832
ninja_meta_td,20,0.3,random,5,0.06997725549658834
ninja_meta_td,20,0.35,random,6,0.019977255496588353
ninja_meta_td,20,0.25,random,7,0.11997725549658833
ninja_meta_td,20,0.45,random,8,0.08002274450341168
ninja_meta_td,20,0.35,random,9,0.019977255496588353
ninja_meta_td,30,0.36666666666666664,random,0,0.00331058882992169
ninja_meta_td,30,0.6,random,1,0.23002274450341165
ninja_meta_td,30,0.43333333333333335,random,2,0.06335607783674502
ninja_meta_td,30,0.23333333333333334,random,3,0.136643922163255
ninja_meta_td,30,0.23333333333333334,random,4,0.136643922163255
ninja_meta_td,30,0.2,random,5,0.16997725549658832
ninja_meta_td,30,0.4,random,6,0.03002274450341169
ninja_meta_td,30,0.2,random,7,0.16997725549658832
ninja_meta_td,30,0.4,random,8,0.03002274450341169
ninja_meta_td,30,0.3333333333333333,random,9,0.036643922163255016
ninja_meta_td,50,0.44,random,0,0.07002274450341167
ninja_meta_td,50,0.44,random,1,0.07002274450341167
ninja_meta_td,50,0.42,random,2,0.050022744503411654
ninja_meta_td,50,0.32,random,3,0.049977255496588324
ninja_meta_td,50,0.26,random,4,0.10997725549658832
ninja_meta_td,50,0.3,random,5,0.06997725549658834
ninja_meta_td,50,0.38,random,6,0.010022744503411674
ninja_meta_td,50,0.26,random,7,0.10997725549658832
ninja_meta_td,50,0.4,random,8,0.03002274450341169
ninja_meta_td,50,0.3,random,9,0.06997725549658834
ninja_meta_td,100,0.44,random,0,0.07002274450341167
ninja_meta_td,100,0.43,random,1,0.06002274450341166
ninja_meta_td,100,0.35,random,2,0.019977255496588353
ninja_meta_td,100,0.38,random,3,0.010022744503411674
ninja_meta_td,100,0.3,random,4,0.06997725549658834
ninja_meta_td,100,0.32,random,5,0.049977255496588324
ninja_meta_td,100,0.38,random,6,0.010022744503411674
ninja_meta_td,100,0.29,random,7,0.07997725549658835
ninja_meta_td,100,0.41,random,8,0.040022744503411645
ninja_meta_td,100,0.36,random,9,0.009977255496588344
wizard_meta_td,10,0.5,random,0,0.08301743745261558
wizard_meta_td,10,0.3,random,1,0.2830174374526156
wizard_meta_td,10,0.6,random,2,0.016982562547384394
wizard_meta_td,10,0.5,random,3,0.08301743745261558
wizard_meta_td,10,0.6,random,4,0.016982562547384394
wizard_meta_td,10,0.5,random,5,0.08301743745261558
wizard_meta_td,10,0.4,random,6,0.18301743745261556
wizard_meta_td,10,0.4,random,7,0.18301743745261556
wizard_meta_td,10,0.6,random,8,0.016982562547384394
wizard_meta_td,10,0.7,random,9,0.11698256254738437
wizard_meta_td,15,0.4,random,0,0.18301743745261556
wizard_meta_td,15,0.4,random,1,0.18301743745261556
wizard_meta_td,15,0.6666666666666666,random,2,0.08364922921405105
wizard_meta_td,15,0.4,random,3,0.18301743745261556
wizard_meta_td,15,0.6,random,4,0.016982562547384394
wizard_meta_td,15,0.5333333333333333,random,5,0.04968410411928226
wizard_meta_td,15,0.4666666666666667,random,6,0.11635077078594891
wizard_meta_td,15,0.4,random,7,0.18301743745261556
wizard_meta_td,15,0.5333333333333333,random,8,0.04968410411928226
wizard_meta_td,15,0.6666666666666666,random,9,0.08364922921405105
wizard_meta_td,20,0.45,random,0,0.13301743745261557
wizard_meta_td,20,0.55,random,1,0.03301743745261554
wizard_meta_td,20,0.6,random,2,0.016982562547384394
wizard_meta_td,20,0.35,random,3,0.2330174374526156
wizard_meta_td,20,0.6,random,4,0.016982562547384394
wizard_meta_td,20,0.5,random,5,0.08301743745261558
wizard_meta_td,20,0.45,random,6,0.13301743745261557
wizard_meta_td,20,0.35,random,7,0.2330174374526156
wizard_meta_td,20,0.6,random,8,0.016982562547384394
wizard_meta_td,20,0.6,random,9,0.016982562547384394
wizard_meta_td,30,0.5333333333333333,random,0,0.04968410411928226
wizard_meta_td,30,0.5666666666666667,random,1,0.01635077078594893
wizard_meta_td,30,0.5333333333333333,random,2,0.04968410411928226
wizard_meta_td,30,0.43333333333333335,random,3,0.14968410411928224
wizard_meta_td,30,0.5333333333333333,random,4,0.04968410411928226
wizard_meta_td,30,0.4666666666666667,random,5,0.11635077078594891
wizard_meta_td,30,0.4666666666666667,random,6,0.11635077078594891
wizard_meta_td,30,0.5,random,7,0.08301743745261558
wizard_meta_td,30,0.6333333333333333,random,8,0.05031589588071772
wizard_meta_td,30,0.5666666666666667,random,9,0.01635077078594893
wizard_meta_td,50,0.64,random,0,0.05698256254738443
wizard_meta_td,50,0.62,random,1,0.03698256254738441
wizard_meta_td,50,0.52,random,2,0.06301743745261557
wizard_meta_td,50,0.54,random,3,0.04301743745261555
wizard_meta_td,50,0.5,random,4,0.08301743745261558
wizard_meta_td,50,0.56,random,5,0.02301743745261553
wizard_meta_td,50,0.5,random,6,0.08301743745261558
wizard_meta_td,50,0.56,random,7,0.02301743745261553
wizard_meta_td,50,0.64,random,8,0.05698256254738443
wizard_meta_td,50,0.62,random,9,0.03698256254738441
wizard_meta_td,100,0.62,random,0,0.03698256254738441
wizard_meta_td,100,0.57,random,1,0.013017437452615632
wizard_meta_td,100,0.51,random,2,0.07301743745261557
wizard_meta_td,100,0.6,random,3,0.016982562547384394
wizard_meta_td,100,0.48,random,4,0.1030174374526156
wizard_meta_td,100,0.56,random,5,0.02301743745261553
wizard_meta_td,100,0.56,random,6,0.02301743745261553
wizard_meta_td,100,0.57,random,7,0.013017437452615632
wizard_meta_td,100,0.54,random,8,0.04301743745261555
wizard_meta_td,100,0.65,random,9,0.06698256254738444
arithmo_meta_slerp,10,0.7639842461361007,mpirt,0,0.051323139236934656
arithmo_meta_slerp,10,0.7467778599999999,rc,0,0.03411675310083384
arithmo_meta_slerp,10,0.7553810530680503,gmpirt,0,0.04271994616888419
arithmo_meta_slerp,10,0.7467778599999999,irt,0,0.03411675310083384
arithmo_meta_slerp,10,0.6136227585435428,pirt,0,0.0990383483556233
arithmo_meta_slerp,10,0.6802003092717713,gpirt,0,0.03246079762739473
arithmo_meta_slerp,10,0.39979295949982846,mpirt,1,0.3128681473993376
arithmo_meta_slerp,10,0.64973466,rc,1,0.06292644689916604
arithmo_meta_slerp,10,0.5247638097499142,gmpirt,1,0.18789729714925185
arithmo_meta_slerp,10,0.64973466,irt,1,0.06292644689916604
arithmo_meta_slerp,10,0.5259459364449987,pirt,1,0.1867151704541674
arithmo_meta_slerp,10,0.5878402982224993,gpirt,1,0.12482080867666678
arithmo_meta_slerp,10,0.6432115376467664,mpirt,2,0.06944956925239965
arithmo_meta_slerp,10,0.7808946099999999,rc,2,0.06823350310083387
arithmo_meta_slerp,10,0.7120530738233832,gmpirt,2,0.0006080330757828323
arithmo_meta_slerp,10,0.7808946099999999,irt,2,0.06823350310083387
arithmo_meta_slerp,10,0.6519838339001043,pirt,2,0.06067727299906178
arithmo_meta_slerp,10,0.7164392219500522,gpirt,2,0.0037781150508860994
arithmo_meta_slerp,10,0.586564644477801,mpirt,3,0.12609646242136507
arithmo_meta_slerp,10,0.64215315,rc,3,0.07050795689916611
arithmo_meta_slerp,10,0.6143588972389005,gmpirt,3,0.0983022096602656
arithmo_meta_slerp,10,0.64215315,irt,3,0.07050795689916611
arithmo_meta_slerp,10,0.6160025131151873,pirt,3,0.09665859378397879
arithmo_meta_slerp,10,0.6290778315575936,gpirt,3,0.0835832753415725
arithmo_meta_slerp,10,0.6087989026336893,mpirt,4,0.10386220426547677
arithmo_meta_slerp,10,0.7490523099999999,rc,4,0.03639120310083388
arithmo_meta_slerp,10,0.6789256063168446,gmpirt,4,0.03373550058232144
arithmo_meta_slerp,10,0.7490523099999999,irt,4,0.03639120310083388
arithmo_meta_slerp,10,0.646351309669879,pirt,4,0.06630979722928709
arithmo_meta_slerp,10,0.6977018098349395,gpirt,4,0.014959297064226607
arithmo_meta_slerp,10,0.6178868770604327,mpirt,5,0.0947742298387334
arithmo_meta_slerp,10,0.7482941599999999,rc,5,0.03563305310083387
arithmo_meta_slerp,10,0.6830905185302163,gmpirt,5,0.02957058836894977
arithmo_meta_slerp,10,0.7482941599999999,irt,5,0.03563305310083387
arithmo_meta_slerp,10,0.7446654843709015,pirt,5,0.03200437747173546
arithmo_meta_slerp,10,0.7464798221854507,gpirt,5,0.03381871528628466
arithmo_meta_slerp,10,0.583750212476557,mpirt,6,0.12891089442260906
arithmo_meta_slerp,10,0.6429113000000001,rc,6,0.06974980689916599
arithmo_meta_slerp,10,0.6133307562382786,gmpirt,6,0.09933035066088747
arithmo_meta_slerp,10,0.6429113000000001,irt,6,0.06974980689916599
arithmo_meta_slerp,10,0.5769921932606664,pirt,6,0.13566891363849964
arithmo_meta_slerp,10,0.6099517466303332,gpirt,6,0.10270936026883282
arithmo_meta_slerp,10,0.7766396330526515,mpirt,7,0.06397852615348543
arithmo_meta_slerp,10,0.9090219900000001,rc,7,0.196360883100834
arithmo_meta_slerp,10,0.8428308115263258,gmpirt,7,0.1301697046271597
arithmo_meta_slerp,10,0.9090219900000001,irt,7,0.196360883100834
arithmo_meta_slerp,10,0.8672681943456659,pirt,7,0.15460708744649987
arithmo_meta_slerp,10,0.888145092172833,gpirt,7,0.17548398527366693
arithmo_meta_slerp,10,0.9611264864737024,mpirt,8,0.2484653795745363
arithmo_meta_slerp,10,0.9173616299999999,rc,8,0.20470052310083386
arithmo_meta_slerp,10,0.9392440582368511,gmpirt,8,0.22658295133768502
arithmo_meta_slerp,10,0.9173616299999999,irt,8,0.20470052310083386
arithmo_meta_slerp,10,0.649692140854438,pirt,8,0.06296896604472801
arithmo_meta_slerp,10,0.783526885427219,gpirt,8,0.07086577852805298
arithmo_meta_slerp,10,0.9836384985575519,mpirt,9,0.27097739165838586
arithmo_meta_slerp,10,0.99999999,rc,9,0.2873388831008339
arithmo_meta_slerp,10,0.9918192442787759,gmpirt,9,0.2791581373796098
arithmo_meta_slerp,10,0.99999999,irt,9,0.2873388831008339
arithmo_meta_slerp,10,0.9430434871734148,pirt,9,0.23038238027424873
