lang,n_samples,accuracy,estimate_method,iter,diff
spanish,50,0.5459154223204815,p-IRT,0,4.73404402692168e-05
spanish,30,0.534549634695554,p-IRT,2,0.0113184471846582
spanish,30,0.4082447743034629,p-IRT,9,0.1376233075767494
spanish,30,0.3252197104067761,p-IRT,5,0.2206483714734362
spanish,30,0.631752518678206,p-IRT,7,0.0858844367979937
spanish,20,0.6253478285424335,p-IRT,8,0.0794797466622212
italian,30,0.4754077104572284,p-IRT,4,0.0091453905178804
italian,20,0.5034168413363453,p-IRT,4,0.0371545213969973
spanish,30,0.4053437482756128,p-IRT,4,0.1405243336045994
italian,20,0.5306656634075371,p-IRT,7,0.0644033434681891
italian,30,0.4079018090904128,p-IRT,7,0.0583605108489351
spanish,50,0.4097969195554405,p-IRT,1,0.1360711623247718
italian,30,0.3686881380091608,p-IRT,1,0.0975741819301871
spanish,50,0.4642462372594022,p-IRT,2,0.0816218446208101
romanian,30,0.1359428207606209,p-IRT,2,0.2476811367829726
spanish,30,0.4388172666090577,p-IRT,1,0.1070508152711546
dutch,50,0.4656245095025888,p-IRT,2,0.0903402032099429
spanish,50,0.5102928606829575,p-IRT,4,0.0355752211972547
italian,30,0.6178190004976664,p-IRT,5,0.1515566805583184
spanish,10,0.5722730637077402,p-IRT,7,0.0264049818275279
spanish,30,0.5960948905579212,p-IRT,8,0.0502268086777089
spanish,50,0.4870626683210527,p-IRT,6,0.0588054135591595
spanish,20,0.4162411350330266,p-IRT,9,0.1296269468471856
spanish,50,0.5443369018975142,p-IRT,5,0.0015311799826981
spanish,50,0.6252603889324365,p-IRT,3,0.0793923070522242
italian,20,0.4033483376821756,p-IRT,9,0.0629139822571723
spanish,30,0.5614675768967278,p-IRT,6,0.0155994950165154
spanish,30,0.4916810963168321,p-IRT,0,0.0541869855633801
italian,20,0.3672273390636864,p-IRT,6,0.0990349808756616
italian,30,0.4044412316531303,p-IRT,3,0.0618210882862176
italian,20,0.3090250895511026,p-IRT,8,0.1572372303882453
italian,20,0.5780251806295014,p-IRT,5,0.1117628606901534
italian,30,0.3720268069168359,p-IRT,6,0.0942355130225121
spanish,30,0.5530523310294556,p-IRT,3,0.0071842491492433
italian,30,0.4226371790687729,p-IRT,2,0.043625140870575
dutch,30,0.5652142565662611,p-IRT,2,0.1899299502736152
dutch,15,0.4726871813544888,p-IRT,1,0.0974028750618429
german,20,0.5392462595595162,p-IRT,6,0.1556223020159226
italian,100,0.3731813580410162,p-IRT,7,0.0930809618983317
spanish,10,0.058728348650108,p-IRT,2,0.4871397332301043
spanish,10,0.263126007204485,p-IRT,1,0.2827420746757272
italian,100,0.4203669237297063,p-IRT,8,0.0458953962096416
spanish,10,0.3859419663619747,p-IRT,0,0.1599261155182375
italian,100,0.3925055728340194,p-IRT,9,0.0737567471053285
dutch,100,0.3611573846335304,p-IRT,9,0.0141269216591154
dutch,10,0.1086643912413079,p-IRT,0,0.266619915051338
dutch,100,0.3273121796411148,p-IRT,8,0.0479721266515311
dutch,100,0.3748581947884901,p-IRT,7,0.0004261115041557
spanish,15,0.5276380354205948,p-IRT,1,0.0182300464596174
spanish,15,0.486702912384614,p-IRT,2,0.0591651694955983
italian,30,0.3320370034109929,p-IRT,8,0.134225316528355
spanish,20,0.4771226722460995,p-IRT,0,0.0687454096341127
italian,30,0.5025124055562196,p-IRT,9,0.0362500856168716
italian,100,0.3025010234295487,p-IRT,0,0.1637612965097992
spanish,20,0.607230182814707,p-IRT,6,0.0613621009344946
italian,100,0.5251936821872805,p-IRT,6,0.0589313622479324
italian,100,0.4126755179688942,p-IRT,5,0.0535868019704537
